time,ax,ay,az,atotal
0.005385160446166992,0.01,0.06,0.25,0.25
0.013058185577392578,-0.03,0.05,0.32,0.32
0.023183107376098633,-0.07,0.03,0.32,0.32
0.03439617156982422,-0.11,-0.01,0.36,0.37
0.044129133224487305,-0.06,-0.01,0.32,0.32
0.05329418182373047,0.0,0.01,0.23,0.23
0.06462311744689941,-0.03,0.02,0.23,0.23
0.07464814186096191,-0.09,0.01,0.26,0.27
0.08434820175170898,-0.09,0.03,0.21,0.23
0.0941619873046875,-0.07,0.08,0.11,0.15
0.10453915596008301,-0.01,0.13,0.09,0.15
0.11491632461547852,-0.02,0.12,0.08,0.14
0.12357711791992188,-0.05,0.1,0.12,0.16
0.13455629348754883,-0.03,0.05,0.16,0.17
0.14446020126342773,-0.03,0.05,0.11,0.12
0.15352630615234375,-0.03,0.06,0.04,0.07
0.16499710083007812,0.0,0.12,-0.01,0.12
0.17460203170776367,0.0,0.12,-0.06,0.13
0.1855771541595459,0.04,0.09,-0.01,0.09
0.19516229629516602,0.09,0.08,0.04,0.12
0.20521116256713867,0.08,0.11,0.05,0.14
0.21516013145446777,0.03,0.14,0.08,0.16
0.2250962257385254,0.03,0.12,0.08,0.14
0.23514223098754883,0.04,0.1,0.07,0.12
0.24555015563964844,0.03,0.08,0.06,0.1
0.2541680335998535,0.04,0.07,0.08,0.11
0.2656121253967285,0.13,0.08,0.09,0.17
0.2753772735595703,0.16,0.12,-0.02,0.2
0.28580617904663086,0.08,0.15,-0.09,0.19
0.295377254486084,0.06,0.14,-0.08,0.17
0.3055691719055176,0.05,0.12,0.01,0.13
0.31569409370422363,0.06,0.1,0.05,0.12
0.32603025436401367,0.06,0.11,0.01,0.12
0.335665225982666,0.05,0.14,0.06,0.16
0.34572911262512207,0.05,0.11,0.15,0.19
0.35469818115234375,0.03,0.07,0.21,0.22
0.3660449981689453,0.02,0.01,0.25,0.25
0.3759312629699707,0.07,-0.03,0.23,0.24
0.3860440254211426,0.05,-0.01,0.2,0.2
0.39614009857177734,0.07,-0.03,0.25,0.26
0.4066309928894043,0.08,0.0,0.27,0.28
0.4164609909057617,0.02,0.04,0.21,0.21
0.4262092113494873,-0.12,0.04,0.15,0.19
0.4363241195678711,-0.09,0.08,0.12,0.17
0.44644713401794434,-0.02,0.14,0.03,0.14
0.45566821098327637,-0.01,0.14,-0.04,0.14
0.46643710136413574,-0.06,0.16,-0.06,0.18
0.47654104232788086,-0.12,0.17,-0.16,0.26
0.4867730140686035,-0.12,0.19,-0.19,0.29
0.4969460964202881,-0.13,0.19,-0.18,0.29
0.5064361095428467,-0.11,0.21,-0.16,0.28
0.5162711143493652,0.01,0.21,-0.13,0.24
0.5270090103149414,0.03,0.21,-0.1,0.23
0.5364742279052734,-0.03,0.14,0.03,0.14
0.5470371246337891,-0.04,0.05,0.13,0.14
0.556049108505249,0.03,0.02,0.14,0.14
0.5666751861572266,0.07,0.04,0.08,0.11
0.5774421691894531,0.09,0.1,0.01,0.13
0.5872430801391602,0.11,0.15,-0.01,0.18
0.5972652435302734,0.17,0.17,0.02,0.24
0.6074011325836182,0.23,0.08,0.11,0.26
0.6177539825439453,0.21,-0.01,0.18,0.27
0.6274533271789551,0.19,-0.03,0.16,0.25
0.637362003326416,0.17,0.0,0.14,0.22
0.6477651596069336,0.18,0.08,0.14,0.24
0.6565160751342773,0.14,0.07,0.1,0.18
0.6677021980285645,-0.01,0.09,0.15,0.17
0.6778302192687988,-0.08,0.07,0.23,0.25
0.6876811981201172,-0.07,0.06,0.23,0.24
0.698052167892456,0.0,0.08,0.18,0.19
0.7080872058868408,-0.02,0.1,0.17,0.19
0.7179090976715088,-0.08,0.05,0.23,0.24
0.7280802726745605,-0.13,-0.01,0.3,0.32
0.7381801605224609,-0.18,0.0,0.3,0.34
0.7486910820007324,-0.13,0.02,0.16,0.2
0.7574362754821777,0.05,-0.03,0.14,0.15
0.767592191696167,0.06,0.02,0.15,0.16
0.7785372734069824,0.02,0.11,0.1,0.15
0.7880611419677734,-0.01,0.16,0.04,0.16
0.7974262237548828,0.01,0.16,0.06,0.17
0.8078351020812988,0.06,0.12,0.02,0.13
0.8176422119140625,0.06,0.13,-0.03,0.14
0.8281559944152832,0.05,0.15,-0.1,0.18
0.8377633094787598,0.04,0.16,-0.06,0.17
0.84794020652771,0.03,0.12,-0.05,0.13
0.8579471111297607,0.04,0.1,-0.05,0.11
0.8683521747589111,0.06,0.11,-0.08,0.14
0.8780760765075684,0.01,0.17,-0.15,0.22
0.8882312774658203,-0.02,0.24,-0.17,0.29
0.898245096206665,0.0,0.23,-0.22,0.31
0.9087200164794922,0.01,0.2,-0.26,0.32
0.9183382987976074,0.05,0.19,-0.28,0.34
0.9284341335296631,0.0,0.19,-0.3,0.35
0.9385542869567871,-0.06,0.2,-0.22,0.3
0.9489822387695312,-0.01,0.16,-0.17,0.23
0.9587249755859375,0.0,0.15,-0.21,0.25
0.9688200950622559,0.01,0.21,-0.23,0.31
0.9788222312927246,0.09,0.21,-0.18,0.29
0.9888811111450195,0.05,0.13,-0.02,0.14
0.998878002166748,0.0,0.06,0.02,0.06
1.0090889930725098,0.03,0.08,-0.03,0.09
1.0190682411193848,0.05,0.11,0.02,0.12
1.0291821956634521,0.02,0.1,0.0,0.1
1.0396311283111572,-0.03,0.1,-0.05,0.11
1.0493521690368652,0.04,0.12,-0.05,0.13
1.0592732429504395,0.13,0.15,0.0,0.19
1.0693891048431396,0.11,0.11,0.13,0.2
1.079596996307373,-0.02,0.06,0.23,0.23
1.0897202491760254,-0.05,0.07,0.24,0.25
1.0997090339660645,0.06,0.06,0.29,0.3
1.1097140312194824,0.09,0.04,0.3,0.31
1.1199312210083008,0.06,0.06,0.26,0.27
1.129615306854248,0.08,0.07,0.35,0.36
1.1397690773010254,0.0,0.04,0.4,0.4
1.1498191356658936,-0.13,0.02,0.37,0.39
1.1601552963256836,-0.11,0.05,0.23,0.25
1.1699652671813965,0.03,0.04,0.01,0.05
1.179915189743042,0.07,0.04,-0.2,0.21
1.1902241706848145,0.05,0.08,-0.25,0.26
1.2011451721191406,0.04,0.07,-0.04,0.09
