time,ax,ay,az,atotal
0.010677814483642578,0.07,0.08,-0.03,0.11
0.011516809463500977,0.01,0.1,0.03,0.1
0.020038843154907227,-0.02,0.07,0.15,0.16
0.030120849609375,0.02,0.04,0.24,0.24
0.04060792922973633,-0.07,0.07,0.22,0.24
0.05030179023742676,-0.11,0.11,0.15,0.21
0.0604708194732666,-0.05,0.13,0.11,0.17
0.07039284706115723,0.04,0.13,0.07,0.15
0.08054399490356445,0.03,0.11,0.04,0.12
0.09036874771118164,0.05,0.09,0.02,0.1
0.10061073303222656,0.01,0.14,-0.03,0.14
0.11063480377197266,-0.22,0.09,-0.05,0.24
0.1207888126373291,-0.05,0.11,-0.03,0.12
0.130875825881958,0.14,0.13,0.03,0.19
0.1407909393310547,-0.07,0.09,0.1,0.15
0.1507558822631836,-0.18,0.13,0.08,0.23
0.16100382804870605,-0.06,0.14,0.01,0.15
0.1712946891784668,0.02,0.12,-0.05,0.13
0.1810460090637207,0.04,0.1,-0.05,0.11
0.19088077545166016,-0.01,0.11,0.01,0.11
0.20138788223266602,-0.03,0.1,0.04,0.11
0.21109390258789062,-0.01,0.09,0.06,0.1
0.2216167449951172,-0.01,0.11,0.05,0.12
0.23141193389892578,0.02,0.09,0.09,0.12
0.24135971069335938,0.01,0.07,0.21,0.22
0.2516617774963379,-0.04,0.08,0.21,0.22
0.26172399520874023,-0.1,0.1,0.17,0.22
0.27192068099975586,-0.13,0.11,0.12,0.2
0.2819068431854248,-0.09,0.11,0.1,0.17
0.29200077056884766,-0.02,0.1,0.02,0.1
0.30181288719177246,0.0,0.12,-0.1,0.15
0.3114156723022461,-0.04,0.15,-0.15,0.21
0.3222637176513672,-0.03,0.16,-0.12,0.2
0.33185887336730957,-0.03,0.17,-0.08,0.19
0.34223175048828125,-0.04,0.11,0.01,0.11
0.351809024810791,-0.08,0.12,-0.03,0.14
0.3620798587799072,-0.12,0.21,-0.03,0.24
0.3724508285522461,-0.13,0.15,0.09,0.21
0.38204193115234375,-0.07,0.13,0.08,0.16
0.3924088478088379,-0.02,0.11,0.03,0.11
0.4022538661956787,0.02,0.05,0.15,0.15
0.41239070892333984,0.04,0.04,0.18,0.18
0.4222879409790039,0.06,0.07,0.07,0.11
0.43250489234924316,0.12,0.04,0.13,0.18
0.4428708553314209,0.14,0.01,0.21,0.25
0.4524688720703125,-0.01,0.12,0.11,0.16
0.46257781982421875,-0.09,0.15,0.01,0.17
0.4727597236633301,-0.02,0.13,0.01,0.13
0.48265695571899414,0.07,0.1,-0.07,0.14
0.493222713470459,0.11,0.08,-0.13,0.18
0.5027856826782227,0.08,0.08,-0.15,0.18
0.5129868984222412,0.02,0.1,-0.12,0.15
0.5231888294219971,-0.05,0.11,-0.09,0.15
0.5334408283233643,-0.09,0.17,-0.06,0.2
0.5432829856872559,-0.11,0.19,0.04,0.22
0.5532927513122559,-0.08,0.14,0.02,0.16
0.5632967948913574,-0.04,0.12,-0.04,0.13
0.5733199119567871,-0.02,0.11,-0.04,0.11
0.583704948425293,0.02,0.08,-0.01,0.08
0.5934298038482666,0.05,0.08,0.03,0.09
0.6035518646240234,0.02,0.05,0.11,0.12
0.6134068965911865,-0.06,0.07,0.11,0.14
0.6236279010772705,-0.08,0.13,0.07,0.16
0.6340489387512207,-0.05,0.15,0.07,0.17
0.6436357498168945,-0.04,0.14,0.08,0.16
0.6537647247314453,-0.09,0.1,0.12,0.18
0.663820743560791,-0.07,0.11,0.08,0.15
0.6739068031311035,-0.06,0.13,0.03,0.14
0.684039831161499,-0.04,0.13,-0.04,0.14
0.694462776184082,-0.02,0.14,-0.13,0.19
0.7044239044189453,-0.02,0.13,-0.15,0.19
0.7134737968444824,-0.03,0.14,-0.15,0.2
0.7243978977203369,-0.06,0.11,-0.07,0.14
0.7343540191650391,-0.08,0.13,-0.04,0.15
0.7449238300323486,-0.07,0.15,-0.03,0.16
0.7543249130249023,-0.08,0.15,0.01,0.17
0.7644968032836914,-0.08,0.15,0.03,0.17
0.7746429443359375,-0.07,0.15,0.01,0.16
0.784160852432251,-0.05,0.1,0.04,0.11
0.7941889762878418,-0.01,0.07,0.07,0.09
0.803959846496582,-0.01,0.07,0.08,0.1
0.8140149116516113,0.02,0.08,0.1,0.12
0.8250188827514648,0.05,0.08,0.12,0.15
0.834298849105835,0.01,0.1,0.11,0.14
0.8453450202941895,-0.02,0.09,0.11,0.14
0.8550167083740234,-0.04,0.09,0.07,0.12
0.865077018737793,-0.04,0.09,0.03,0.1
0.8752098083496094,-0.01,0.12,-0.03,0.12
0.8852877616882324,0.03,0.15,0.0,0.15
0.895535945892334,0.03,0.14,0.01,0.14
0.9053869247436523,0.01,0.13,-0.02,0.13
0.9153647422790527,-0.04,0.11,-0.02,0.11
0.9258108139038086,-0.05,0.1,0.01,0.11
0.9357578754425049,-0.01,0.12,-0.02,0.12
0.9459238052368164,0.01,0.15,-0.01,0.15
0.9546158313751221,0.0,0.13,0.03,0.13
0.9647817611694336,0.0,0.1,0.08,0.12
0.9750399589538574,0.0,0.09,0.01,0.09
0.9850718975067139,0.01,0.11,-0.01,0.11
0.9953579902648926,-0.01,0.09,0.03,0.09
1.0060148239135742,-0.05,0.11,0.02,0.12
1.0159637928009033,0.0,0.11,-0.01,0.11
1.0262808799743652,0.02,0.12,0.0,0.12
1.0354008674621582,0.04,0.13,-0.02,0.13
1.0455269813537598,0.04,0.12,-0.03,0.13
1.0552217960357666,0.01,0.08,0.0,0.08
1.0653877258300781,0.01,0.06,0.03,0.06
1.0754656791687012,-0.01,0.1,0.0,0.1
1.0857288837432861,0.0,0.13,-0.04,0.13
1.0959267616271973,0.03,0.13,-0.04,0.13
1.105787754058838,0.01,0.13,-0.07,0.14
1.1157867908477783,-0.02,0.12,-0.04,0.12
1.126098871231079,-0.02,0.1,0.0,0.1
1.135983943939209,-0.04,0.13,-0.02,0.13
1.1460278034210205,-0.08,0.15,-0.08,0.18
1.1559977531433105,-0.04,0.14,-0.11,0.18
1.166172981262207,0.01,0.11,-0.1,0.14
1.176297903060913,-0.01,0.09,-0.1,0.13
1.1863627433776855,-0.04,0.14,-0.06,0.15
1.1962847709655762,-0.03,0.16,0.01,0.16
1.206777811050415,-0.01,0.11,0.04,0.11
1.2164058685302734,0.01,0.08,-0.01,0.08
1.2265429496765137,0.02,0.12,-0.02,0.12
1.2365138530731201,0.01,0.13,-0.01,0.13
1.2466847896575928,-0.03,0.15,0.02,0.15
1.2571468353271484,-0.02,0.12,0.07,0.14
1.2675909996032715,0.02,0.08,0.1,0.12
1.2768847942352295,0.04,0.07,0.09,0.12
1.2871308326721191,-0.01,0.08,0.12,0.14
1.2970948219299316,-0.06,0.05,0.19,0.2
1.3073530197143555,-0.04,0.07,0.17,0.18
1.3170218467712402,-0.03,0.1,0.08,0.13
1.327110767364502,-0.07,0.12,0.05,0.14
1.337364673614502,-0.03,0.12,0.05,0.13
1.3473777770996094,-0.01,0.12,0.04,0.12
1.357724905014038,-0.08,0.12,0.03,0.14
1.3676438331604004,-0.09,0.12,0.04,0.15
1.3777117729187012,-0.03,0.12,-0.02,0.12
1.3875536918640137,0.04,0.12,0.0,0.12
1.3980958461761475,0.04,0.12,0.06,0.13
1.4090569019317627,0.02,0.13,0.04,0.13
1.4185209274291992,0.01,0.09,-0.04,0.09
1.4282488822937012,0.02,0.05,-0.17,0.17
1.4381837844848633,0.04,0.02,-0.12,0.12
1.4481828212738037,0.06,0.04,0.13,0.14
1.4579298496246338,-0.02,0.07,0.36,0.36
1.468416690826416,-0.2,0.15,0.39,0.46
1.4782657623291016,-0.3,0.23,0.12,0.39
1.4882268905639648,-0.05,0.18,-0.27,0.32
1.4984548091888428,0.28,0.07,-0.22,0.36
1.5084238052368164,0.21,0.06,-0.08,0.23
1.5187208652496338,0.0,0.09,0.02,0.09
1.5286478996276855,-0.25,0.1,-0.03,0.27
1.5385968685150146,-0.09,0.15,-0.13,0.21
1.548583984375,0.19,0.15,-0.03,0.24
1.558527946472168,0.13,0.05,0.0,0.13
1.5691399574279785,0.02,0.01,-0.02,0.03
1.578744888305664,-0.02,0.01,0.0,0.02
1.5889408588409424,-0.11,0.15,0.06,0.19
1.5988860130310059,-0.15,0.19,0.04,0.24
1.6091458797454834,-0.1,0.17,0.05,0.2
1.6194109916687012,-0.06,0.12,0.05,0.14
1.62907075881958,-0.05,0.11,-0.02,0.12
1.6391808986663818,-0.08,0.1,-0.01,0.12
1.649162769317627,-0.06,0.1,0.05,0.12
1.6591238975524902,-0.03,0.13,0.05,0.14
1.6721129417419434,-0.01,0.15,0.04,0.15
1.6793708801269531,-0.02,0.13,0.06,0.14
1.689408779144287,-0.03,0.14,0.06,0.15
1.6995840072631836,-0.07,0.16,0.12,0.21
1.7096338272094727,-0.12,0.08,0.22,0.26
1.7200326919555664,-0.09,0.05,0.15,0.18
1.729660987854004,-0.04,0.09,0.0,0.09
1.7404699325561523,-0.03,0.12,-0.09,0.15
1.7506380081176758,-0.01,0.14,-0.11,0.17
1.7604889869689941,0.0,0.12,-0.08,0.14
1.7708067893981934,0.0,0.11,-0.04,0.11
1.7807137966156006,-0.01,0.14,-0.05,0.14
1.790815830230713,-0.02,0.14,-0.07,0.15
1.8003287315368652,0.0,0.09,0.03,0.09
1.8100378513336182,-0.02,0.12,0.09,0.15
1.8209919929504395,-0.11,0.15,0.11,0.21
1.8312277793884277,-0.13,0.11,0.08,0.18
1.8411669731140137,-0.09,0.11,-0.01,0.14
1.851301670074463,-0.03,0.13,-0.12,0.17
1.861027717590332,0.03,0.15,-0.13,0.2
1.8713150024414062,0.03,0.13,-0.15,0.2
1.8817198276519775,-0.01,0.11,-0.15,0.18
1.8914508819580078,-0.08,0.24,-0.24,0.34
1.9017109870910645,-0.13,0.36,-0.33,0.5
1.9115338325500488,-0.11,0.26,-0.21,0.35
1.921595811843872,-0.11,0.16,-0.07,0.2
1.9319179058074951,-0.14,0.08,-0.05,0.16
1.9418838024139404,-0.15,0.07,-0.02,0.16
1.9517388343811035,-0.1,0.14,-0.06,0.18
1.961690902709961,-0.1,0.19,-0.11,0.24
