time,ax,ay,az,atotal
0.009800910949707031,0.14,0.08,0.3,0.34
0.014371871948242188,0.12,0.07,0.36,0.38
0.024460792541503906,0.07,0.04,0.25,0.26
0.03403806686401367,0.0,-0.02,0.13,0.13
0.04439878463745117,-0.07,-0.07,0.14,0.17
0.0544588565826416,-0.13,-0.11,0.21,0.27
0.06428885459899902,-0.17,-0.09,0.22,0.29
0.07507085800170898,-0.18,-0.02,0.17,0.24
0.08460474014282227,-0.15,0.06,0.12,0.2
0.09480094909667969,-0.13,0.09,0.05,0.16
0.10474491119384766,-0.1,0.08,0.0,0.12
0.11442804336547852,-0.07,0.06,-0.04,0.1
0.12482595443725586,-0.04,0.03,-0.05,0.07
0.13468694686889648,-0.02,-0.01,0.0,0.02
0.1447310447692871,-0.01,-0.04,0.04,0.05
0.15629792213439941,0.0,-0.05,0.08,0.09
0.16588306427001953,0.0,-0.05,0.09,0.1
0.17590785026550293,0.0,-0.03,0.09,0.09
0.18587994575500488,0.0,0.0,0.09,0.09
0.19601202011108398,0.01,0.01,0.11,0.11
0.2062697410583496,0.02,0.0,0.14,0.14
0.21531987190246582,0.04,-0.01,0.16,0.16
0.2254328727722168,0.01,-0.04,0.18,0.18
0.23539304733276367,-0.01,-0.04,0.21,0.21
0.2453017234802246,-0.03,-0.05,0.22,0.22
0.2558097839355469,-0.07,-0.02,0.22,0.23
0.26556396484375,-0.04,-0.01,0.19,0.19
0.27570199966430664,-0.03,0.0,0.18,0.18
0.28568506240844727,-0.03,0.0,0.2,0.2
0.29595184326171875,-0.02,-0.01,0.18,0.18
0.3072168827056885,-0.02,0.0,0.1,0.1
0.3173959255218506,-0.02,0.03,0.02,0.04
0.32703685760498047,-0.03,0.04,0.01,0.05
0.33696699142456055,-0.03,0.04,0.05,0.07
0.34687376022338867,-0.02,0.03,0.11,0.11
0.3571019172668457,0.01,0.01,0.13,0.13
0.3673398494720459,0.04,0.01,0.15,0.15
0.3772609233856201,0.07,0.01,0.19,0.2
0.3871889114379883,0.09,0.0,0.22,0.23
0.3972048759460449,0.13,0.01,0.24,0.27
0.40689802169799805,0.17,0.06,0.26,0.31
0.4180638790130615,0.2,0.1,0.16,0.27
0.4274909496307373,0.29,0.06,0.02,0.29
0.43785691261291504,0.37,0.07,0.08,0.38
0.4477057456970215,0.33,0.13,0.18,0.39
0.4576609134674072,0.31,0.2,0.13,0.39
0.4679539203643799,0.31,0.24,0.03,0.39
0.4778299331665039,0.23,0.2,-0.06,0.31
0.48778390884399414,0.07,0.12,-0.11,0.17
0.4978179931640625,-0.11,0.02,-0.07,0.13
0.5080938339233398,-0.21,-0.07,0.0,0.22
0.5185048580169678,-0.24,-0.11,0.06,0.27
0.52805495262146,-0.22,-0.13,0.11,0.27
0.5379977226257324,-0.18,-0.14,0.18,0.29
0.5480947494506836,-0.1,-0.17,0.23,0.3
0.5582208633422852,0.01,-0.2,0.29,0.35
0.5687417984008789,0.1,-0.17,0.32,0.37
0.5782990455627441,0.12,-0.08,0.29,0.32
0.5884280204772949,0.12,-0.01,0.26,0.28
0.5983929634094238,0.1,0.01,0.27,0.28
0.6086230278015137,0.07,0.0,0.3,0.3
0.6188549995422363,0.0,-0.01,0.28,0.28
0.628605842590332,-0.05,0.01,0.23,0.23
0.638725757598877,-0.06,0.04,0.13,0.14
0.6486308574676514,-0.07,0.07,0.07,0.12
0.6587610244750977,-0.12,0.09,0.01,0.15
0.6689538955688477,-0.17,0.12,0.02,0.2
0.6788759231567383,-0.15,0.11,0.05,0.19
0.689072847366333,-0.12,0.08,0.09,0.17
0.6991488933563232,-0.1,0.07,0.1,0.15
0.7091507911682129,-0.07,0.06,0.09,0.12
0.7191288471221924,-0.05,0.05,0.08,0.1
0.7293248176574707,-0.02,0.04,0.06,0.07
0.7393407821655273,0.0,0.04,0.05,0.06
0.7492709159851074,0.02,0.05,0.03,0.06
0.759483814239502,0.03,0.04,0.01,0.05
0.7698628902435303,0.04,0.02,0.05,0.06
0.7799787521362305,0.02,0.0,0.1,0.1
0.7897729873657227,-0.02,-0.02,0.12,0.12
0.7996840476989746,-0.04,-0.04,0.13,0.14
0.8098907470703125,0.0,-0.03,0.12,0.12
0.8200008869171143,0.06,-0.02,0.09,0.11
0.8302288055419922,0.09,-0.01,0.08,0.12
0.8394417762756348,0.06,-0.02,0.09,0.11
0.849233865737915,0.02,-0.03,0.09,0.09
0.8592338562011719,-0.03,-0.07,0.08,0.11
0.8692219257354736,-0.07,-0.1,0.08,0.14
0.8796257972717285,-0.06,-0.08,-0.44,0.45
0.8905420303344727,0.03,-0.01,-0.18,0.18
0.9007439613342285,0.11,-0.02,0.32,0.33
0.9105379581451416,0.01,-0.02,0.76,0.76
0.9206027984619141,0.06,-0.03,0.75,0.75
0.9310460090637207,0.09,-0.06,0.5,0.51
0.9407978057861328,0.06,-0.04,0.31,0.31
0.9504899978637695,0.07,0.0,0.24,0.25
0.9725918769836426,0.13,0.02,0.3,0.32
0.9734148979187012,0.17,0.04,0.43,0.46
0.9808669090270996,0.12,0.09,0.52,0.54
0.9904270172119141,0.04,0.09,0.41,0.42
1.0002007484436035,-0.02,0.05,0.19,0.19
1.0112159252166748,-0.04,0.01,0.0,0.04
1.0205879211425781,0.0,-0.01,-0.16,0.16
1.0309357643127441,-0.02,0.02,-0.26,0.26
1.0414447784423828,-0.01,0.05,-0.3,0.3
1.051365852355957,0.0,0.09,-0.27,0.28
1.0613250732421875,0.02,0.12,-0.23,0.26
1.0713038444519043,0.01,0.09,-0.18,0.2
1.0814528465270996,-0.01,0.03,-0.14,0.14
1.091506004333496,-0.05,-0.01,-0.12,0.13
1.1014389991760254,-0.06,-0.08,-0.15,0.18
1.1113338470458984,-0.08,-0.11,-0.12,0.18
1.1216020584106445,-0.15,-0.06,-0.1,0.19
1.1315429210662842,-0.17,-0.05,-0.12,0.21
1.1420118808746338,-0.14,-0.08,-0.05,0.16
1.1520090103149414,-0.14,-0.07,0.08,0.17
1.1616458892822266,-0.14,-0.04,0.16,0.21
1.171888828277588,-0.11,-0.04,0.12,0.16
1.181879997253418,-0.05,-0.08,0.13,0.16
1.1925458908081055,0.01,-0.08,0.22,0.23
1.202096939086914,0.01,-0.01,0.31,0.31
1.2120468616485596,0.03,0.03,0.28,0.28
1.2222869396209717,0.02,0.05,0.2,0.2
1.2314989566802979,-0.01,0.02,0.1,0.1
1.2418229579925537,-0.09,0.04,0.02,0.1
1.2512288093566895,-0.16,0.07,-0.1,0.2
1.2614550590515137,-0.19,0.05,-0.19,0.27
1.271554946899414,-0.21,0.02,-0.15,0.25
1.281430721282959,-0.19,-0.04,0.02,0.19
1.2916679382324219,-0.14,-0.08,0.23,0.28
1.3015339374542236,-0.08,-0.08,0.42,0.43
1.3116579055786133,-0.04,-0.07,0.45,0.45
1.3217377662658691,-0.01,-0.05,0.34,0.34
1.331686019897461,0.01,-0.04,0.19,0.19
1.3427929878234863,0.01,0.0,0.1,0.1
1.3521537780761719,0.0,0.01,0.02,0.02
1.3630468845367432,0.03,0.03,-0.02,0.04
1.3730108737945557,0.06,0.04,0.04,0.08
1.3831658363342285,0.03,0.1,0.11,0.15
1.3921380043029785,0.05,0.11,0.11,0.16
1.4034709930419922,0.08,0.09,0.1,0.15
1.4133567810058594,0.09,0.09,0.13,0.18
1.4230809211730957,0.14,0.1,0.14,0.22
1.4334759712219238,0.18,0.11,0.13,0.24
1.4433648586273193,0.15,0.08,0.15,0.22
1.453420877456665,0.13,0.07,0.21,0.25
1.4640908241271973,0.1,0.03,0.25,0.27
1.4735939502716064,0.07,0.01,0.27,0.27
