time,ax,ay,az,atotal
0.009655952453613281,-0.01,0.04,0.2,0.2
0.014599084854125977,-0.03,0.05,0.13,0.14
0.02485203742980957,-0.09,0.06,0.01,0.1
0.034464120864868164,-0.17,0.06,0.09,0.2
0.044779062271118164,-0.18,-0.05,0.35,0.39
0.055377960205078125,-0.17,-0.01,0.31,0.35
0.06566524505615234,-0.1,0.03,0.16,0.19
0.07492208480834961,-0.04,0.11,0.1,0.15
0.08503913879394531,-0.03,0.17,0.0,0.17
0.09556102752685547,-0.05,0.12,0.04,0.13
0.1054220199584961,-0.12,0.15,0.13,0.23
0.11552000045776367,-0.08,0.15,0.13,0.21
0.12512922286987305,0.02,0.16,0.02,0.16
0.1359109878540039,-0.11,0.27,-0.1,0.3
0.14535212516784668,-0.08,0.29,-0.12,0.32
0.15535402297973633,-0.08,0.59,-0.03,0.59
0.1655139923095703,0.0,0.89,-0.06,0.89
0.17594194412231445,0.23,0.97,-0.06,0.99
0.1857309341430664,0.28,1.14,-0.38,1.23
0.19581890106201172,0.67,1.27,-1.12,1.82
0.2059311866760254,1.84,1.46,-2.71,3.58
0.21630406379699707,2.66,0.92,-3.12,4.2
0.22608518600463867,2.59,1.16,-3.44,4.45
0.23594403266906738,1.2,0.96,-1.85,2.4
0.2467050552368164,-0.96,0.12,-1.13,1.48
0.25620222091674805,-1.38,1.57,-0.67,2.19
0.2663130760192871,0.07,1.37,2.52,2.86
0.27613019943237305,-0.1,-1.15,2.6,2.84
0.28641223907470703,-3.24,-0.27,2.31,3.98
0.2964301109313965,-3.53,-0.26,4.14,5.44
0.30683302879333496,-0.99,-1.27,2.05,2.6
0.31665897369384766,0.5,-1.34,-0.1,1.43
0.32659411430358887,0.17,-1.96,-0.09,1.96
0.33661508560180664,0.01,-1.96,-0.19,1.96
0.34696197509765625,0.38,-1.68,0.16,1.72
0.35660314559936523,0.56,-1.79,0.34,1.9
0.3668241500854492,0.33,-1.55,-0.15,1.59
0.3768761157989502,0.09,-1.03,0.2,1.05
0.38716912269592285,0.06,-0.46,1.08,1.17
0.39670896530151367,-0.47,0.17,1.75,1.81
0.40677905082702637,-1.07,0.35,2.6,2.83
0.41669702529907227,-1.14,0.19,2.05,2.35
0.4281601905822754,-0.52,0.3,0.04,0.6
0.43769001960754395,0.72,0.55,-1.52,1.76
0.4478890895843506,1.2,0.75,-1.84,2.32
0.45806407928466797,0.69,0.94,-1.23,1.69
0.4682750701904297,-0.16,0.9,0.13,0.92
0.47792816162109375,-0.72,0.33,1.04,1.3
0.4880850315093994,-0.78,-0.13,1.02,1.29
0.49810314178466797,-0.35,-0.4,0.56,0.77
0.5085570812225342,0.15,-0.51,0.1,0.54
0.518214225769043,0.1,-0.28,-0.05,0.3
0.5285549163818359,-0.23,0.33,-0.15,0.42
0.5382840633392334,-0.53,0.95,-0.16,1.09
0.5485830307006836,-0.45,1.15,-0.15,1.24
0.5589871406555176,-0.13,0.91,-0.21,0.94
0.5686311721801758,0.23,0.4,-0.01,0.46
0.5785160064697266,-0.01,0.07,0.28,0.28
0.5886831283569336,-0.32,-0.14,0.67,0.75
0.5986731052398682,-0.37,-0.24,0.83,0.93
0.607795238494873,-0.4,-0.42,0.61,0.84
0.6184310913085938,0.01,-0.33,0.27,0.42
0.6284999847412109,0.43,-0.17,-0.25,0.52
0.6390230655670166,0.64,0.16,-0.69,0.95
0.6481051445007324,0.44,0.5,-0.55,0.86
0.6582851409912109,0.35,0.53,0.08,0.64
0.6682560443878174,0.35,0.16,0.71,0.8
0.6783452033996582,0.07,0.04,0.57,0.57
0.6884169578552246,-0.13,-0.1,0.2,0.25
0.6984481811523438,0.16,-0.08,-0.08,0.19
