time,ax,ay,az,atotal
0.005587100982666016,0.2,0.08,-0.23,0.31
0.010381221771240234,0.17,0.07,-0.33,0.37
0.02050924301147461,0.21,0.14,-0.39,0.46
0.031132221221923828,0.27,0.12,-0.4,0.49
0.04125714302062988,0.22,0.1,-0.24,0.34
0.051183223724365234,0.1,0.14,-0.05,0.17
0.06122922897338867,-0.02,0.1,0.05,0.11
0.07156896591186523,0.01,0.09,0.03,0.09
0.08125829696655273,0.05,0.1,0.02,0.11
0.09165811538696289,0.03,0.1,0.04,0.11
0.10140228271484375,-0.04,0.1,-0.04,0.11
0.11200308799743652,-0.07,0.1,-0.1,0.15
0.12149715423583984,-0.08,0.11,-0.09,0.16
0.1317431926727295,-0.04,0.08,-0.05,0.1
0.1416761875152588,-0.12,0.1,-0.01,0.15
0.15198802947998047,-0.22,0.12,0.07,0.26
0.16183114051818848,-0.26,0.12,0.1,0.3
0.17178726196289062,-0.19,0.14,0.11,0.26
0.18138909339904785,-0.1,0.08,0.09,0.15
0.19170904159545898,-0.09,0.05,0.05,0.11
0.20099616050720215,0.01,0.05,0.03,0.05
0.21227812767028809,0.09,0.05,0.08,0.13
0.2220621109008789,0.1,0.02,0.18,0.2
0.23157215118408203,0.08,0.03,0.18,0.19
0.24237823486328125,0.07,0.09,0.17,0.2
0.25226402282714844,-0.01,0.07,0.07,0.09
0.2628211975097656,0.01,0.06,-0.01,0.06
0.2713751792907715,0.04,0.06,-0.1,0.12
0.28145503997802734,0.05,0.07,-0.25,0.26
0.29155707359313965,0.14,0.05,-0.23,0.27
0.3019089698791504,0.19,0.07,-0.23,0.3
0.3117842674255371,0.12,0.09,-0.25,0.29
0.3217930793762207,0.0,0.1,-0.19,0.21
0.33199119567871094,-0.03,0.08,-0.18,0.19
0.3422811031341553,-0.03,0.05,-0.2,0.2
0.35230398178100586,0.03,0.05,-0.25,0.25
0.3622560501098633,0.09,0.09,-0.29,0.31
0.37236618995666504,0.09,0.09,-0.21,0.24
0.38251304626464844,-0.01,0.08,-0.19,0.2
0.39247703552246094,-0.04,0.1,-0.06,0.12
0.40236902236938477,-0.04,0.11,0.02,0.11
0.4128251075744629,-0.04,0.1,0.09,0.14
0.42321300506591797,-0.11,0.08,0.08,0.15
0.4329521656036377,-0.11,0.11,0.13,0.2
0.44342613220214844,-0.15,0.19,0.11,0.26
0.4536142349243164,-0.19,0.2,0.03,0.27
0.4628772735595703,-0.14,0.21,0.1,0.27
0.4730100631713867,-0.06,0.14,0.11,0.18
0.48299407958984375,-0.17,0.1,0.19,0.27
0.49341297149658203,-0.38,0.04,0.34,0.51
0.5029683113098145,-0.29,0.16,0.42,0.53
0.5132732391357422,-0.29,0.23,0.16,0.4
0.5231881141662598,-0.4,0.28,-0.18,0.52
0.5346369743347168,-0.51,0.31,-0.68,0.9
0.5441250801086426,-0.47,0.02,-1.09,1.18
0.5540730953216553,0.12,0.26,-1.05,1.08
0.5642871856689453,0.6,-0.14,-1.39,1.52
0.5741562843322754,0.65,-0.62,-0.68,1.12
0.5838532447814941,0.33,-0.26,0.12,0.43
0.5944390296936035,0.2,0.25,0.94,0.99
0.60430908203125,0.03,0.52,1.31,1.4
0.6145873069763184,-0.06,0.24,1.41,1.43
0.6246190071105957,-0.25,-0.06,1.28,1.3
0.6346151828765869,0.26,0.05,1.0,1.03
0.6446242332458496,0.56,0.12,0.71,0.91
0.6546921730041504,0.3,0.06,0.7,0.76
0.6647930145263672,-0.04,0.03,0.63,0.63
0.6750702857971191,-0.06,0.0,0.44,0.44
0.6853091716766357,0.02,-0.06,0.19,0.2
0.6949231624603271,0.01,-0.07,0.07,0.09
0.7048592567443848,0.06,0.12,-0.02,0.13
0.715015172958374,0.08,0.22,-0.15,0.27
0.7255041599273682,-0.06,0.18,-0.23,0.29
0.7351531982421875,-0.24,0.14,-0.31,0.41
0.74527907371521,-0.23,0.12,-0.35,0.43
0.7555069923400879,-0.11,0.13,-0.34,0.38
0.7657332420349121,-0.04,0.11,-0.28,0.3
0.7755570411682129,-0.09,0.1,-0.2,0.24
0.7854971885681152,-0.09,0.1,-0.18,0.22
0.7955281734466553,-0.03,0.11,-0.11,0.15
0.805443286895752,-0.01,0.14,-0.16,0.21
0.815852165222168,-0.05,0.19,-0.23,0.3
0.8258321285247803,-0.04,0.16,-0.24,0.29
0.8362112045288086,-0.01,0.13,-0.19,0.23
0.8457522392272949,0.16,0.03,-0.1,0.19
0.855889081954956,0.09,0.0,-0.06,0.1
0.8660171031951904,-0.09,0.12,-0.03,0.15
0.8764142990112305,-0.08,0.15,0.05,0.17
0.8861231803894043,0.05,0.08,0.08,0.12
0.8963031768798828,0.19,0.04,0.09,0.21
0.9061532020568848,0.24,0.05,0.04,0.24
0.9167511463165283,0.22,0.07,-0.01,0.23
0.9262781143188477,0.18,0.06,-0.02,0.19
0.9363760948181152,0.16,0.07,-0.01,0.17
0.9464449882507324,0.11,0.09,0.02,0.14
0.956787109375,0.14,0.09,-0.01,0.16
