time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007000,0.8263,-0.0241,-3.6850,3.777
0.008000,1.0512,0.4549,-3.3506,3.541
0.009000,1.2890,0.9617,-2.8525,3.275
0.010000,1.4656,1.4253,-2.0912,2.924
0.010000,1.6502,1.8658,-1.2334,2.780
0.011000,2.0020,1.9277,-0.5313,2.830
0.011000,2.4730,1.4494,-0.1434,2.870
0.016000,2.7604,0.9030,0.0325,2.904
0.020000,2.6781,0.6728,0.1737,2.767
0.025000,2.2650,0.8272,0.2541,2.425
0.036000,1.7058,1.1934,0.2663,2.099
0.037000,1.0289,1.5866,0.1840,1.900
0.039000,0.3349,1.9184,-0.0005,1.947
0.044000,-0.2657,2.1129,-0.2207,2.141
0.049000,-0.7814,2.2015,-0.4507,2.379
0.055000,-1.2163,2.2418,-0.5881,2.617
0.059000,-1.5813,2.1312,-0.7866,2.768
0.064000,-1.7629,2.0686,-0.9698,2.886
0.070000,-1.8455,2.0969,-1.1499,3.021
0.075000,-1.8397,2.0493,-1.3945,3.087
0.079000,-1.7955,2.0794,-1.6633,3.212
0.083000,-1.6123,2.0601,-1.7402,3.142
0.088000,-1.3119,2.0383,-1.9063,3.084
0.093000,-0.8615,2.0029,-2.0778,3.012
0.098000,-0.4276,1.9259,-2.1904,2.948
0.102000,-0.0600,1.8486,-2.0596,2.768
0.107000,0.2389,1.7278,-2.1300,2.753
0.112000,0.4560,1.5569,-2.3464,2.853
0.118000,0.5757,1.3320,-2.3889,2.795
0.122000,0.6486,1.1439,-2.2266,2.586
0.127000,0.6188,1.0928,-1.9983,2.360
0.132000,0.4546,1.1343,-1.7295,2.118
0.137000,0.2041,1.2931,-1.4221,1.933
0.141000,-0.0106,1.5588,-1.1667,1.947
0.149000,-0.0680,1.9491,-0.9366,2.164
0.151000,0.0776,2.2355,-0.7983,2.375
0.156000,0.2325,2.3767,-0.7251,2.496
0.161000,0.4164,2.5562,-0.6452,2.669
0.166000,0.6986,2.8551,-0.5635,2.993
0.171000,1.1075,2.7981,-0.6856,3.086
0.175000,1.3444,2.4770,-0.9330,2.969
0.180000,1.5442,2.0917,-1.2893,2.902
0.185000,1.6989,1.8986,-1.5825,2.999
0.190000,1.8066,1.9438,-1.8252,3.221
0.195000,2.0754,1.9773,-2.1522,3.585
0.200000,2.4335,1.9031,-2.4207,3.925
0.205000,2.7217,1.7175,-2.4663,4.055
0.209000,2.7140,1.4385,-2.3036,3.840
0.215000,2.5949,1.1356,-1.8299,3.372
0.219000,2.5217,1.1709,-1.2788,3.060
0.224000,2.4072,1.1984,-0.9297,2.845
0.229000,2.2819,0.9196,-0.8524,2.604
0.234000,2.1247,0.7055,-0.4589,2.285
0.239000,1.9568,0.6973,0.1613,2.084
0.243000,1.7411,0.8866,0.6924,2.073
0.249000,1.5380,1.0692,0.8547,2.059
0.253000,1.4099,1.1002,1.0204,2.059
0.258000,1.2904,1.1003,1.0281,1.983
0.265000,1.1364,1.2541,0.6741,1.822
0.268000,0.9059,1.5731,0.0472,1.816
0.273000,0.8046,1.9260,-0.6661,2.191
0.278000,0.8591,2.1402,-1.2494,2.623
0.283000,1.0796,2.1628,-1.6349,2.918
0.287000,1.4679,1.9573,-1.7494,3.008
0.292000,1.8434,1.5819,-1.3537,2.781
0.299000,2.2401,1.1288,-0.5127,2.560
0.302000,2.7827,0.5892,0.5294,2.893
0.307000,3.2912,-0.1056,2.1198,3.916
0.312000,3.0794,-0.4276,4.2139,5.237
0.317000,2.4944,-0.9456,5.2830,5.918
0.321000,1.8599,-1.6943,5.2474,5.819
0.326000,1.3294,-2.1744,5.0980,5.700
0.331000,0.9128,-2.2766,5.0814,5.642
0.338000,0.5922,-2.0677,5.1577,5.588
0.341000,0.4186,-1.8573,5.2546,5.589
0.349000,0.2363,-1.4387,5.1693,5.371
0.358000,0.0794,-0.8206,4.8829,4.952
0.359000,0.0357,-0.2481,4.4532,4.460
0.360000,0.4047,0.1548,3.9292,3.953
0.365000,0.9682,0.4936,3.2859,3.461
0.370000,1.6410,0.6396,2.4027,2.979
0.375000,2.4756,0.5975,2.4964,3.566
0.380000,3.2056,0.5193,2.8649,4.330
0.385000,3.4666,0.3496,2.4324,4.249
0.389000,3.3253,0.0947,1.5538,3.672
0.394000,2.9171,-0.1897,0.8255,3.038
0.399000,2.3362,-0.4963,0.9005,2.552
0.404000,1.7837,-0.7689,0.9407,2.158
0.408000,1.6241,-0.9699,0.5167,1.961
0.414000,1.5572,-1.3547,0.3176,2.088
0.419000,1.2412,-1.8438,0.4192,2.262
0.423000,0.8773,-2.3839,0.5120,2.591
0.428000,0.5650,-2.8047,0.6523,2.935
0.433000,0.1703,-3.1377,0.8164,3.247
0.438000,-0.3101,-3.3930,0.8801,3.519
0.443000,-0.8803,-3.3926,0.9211,3.624
0.448000,-1.4441,-3.2697,0.9432,3.697
0.452000,-1.8790,-3.0046,0.9693,3.674
0.458000,-2.1090,-2.6877,0.9748,3.553
0.463000,-2.1755,-2.3542,0.7962,3.303
0.467000,-2.1038,-2.0342,0.5329,2.975
0.472000,-1.8861,-1.7474,0.1069,2.573
0.477000,-1.6318,-1.4703,-0.3667,2.227
0.482000,-1.3609,-1.2245,-0.8399,2.014
0.487000,-1.1775,-0.9616,-1.2677,1.980
0.491000,-1.0333,-0.7574,-1.6175,2.063
0.496000,-0.9168,-0.5865,-1.8663,2.160
0.502000,-0.8556,-0.4293,-1.8881,2.117
0.506000,-0.8537,-0.3208,-1.7364,1.961
0.511000,-0.8556,-0.2125,-1.3903,1.646
0.516000,-0.7918,-0.1876,-1.0225,1.307
0.522000,-0.6495,-0.2582,-0.7264,1.008
0.526000,-0.6394,-0.3142,-0.4589,0.847
0.532000,-0.7763,-0.3403,-0.1475,0.860
0.537000,-0.9311,-0.3087,0.1965,1.000
0.541000,-1.0259,-0.2783,0.3422,1.117
