time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.3900,0.1528,-1.1237,1.199
0.003000,-0.7182,0.2127,-0.8524,1.135
0.004000,-0.8982,0.1801,-0.6878,1.146
0.004000,-0.9723,0.0382,-0.5481,1.117
0.012000,-0.8738,-0.1675,-0.2550,0.926
0.013000,-0.5604,-0.3892,0.2590,0.730
0.018000,-0.1550,-0.6659,0.6913,0.972
0.024000,0.0787,-0.8901,0.9378,1.295
0.028000,0.0873,-1.1222,1.0735,1.555
0.034000,-0.1489,-1.2250,1.0949,1.650
0.039000,-0.4289,-1.2236,1.1149,1.710
0.043000,-0.7463,-1.1401,1.0231,1.704
0.048000,-0.9682,-1.0108,0.9198,1.675
0.052000,-1.1842,-0.7789,0.7639,1.610
0.059000,-1.2136,-0.5454,0.5601,1.444
0.064000,-1.1122,-0.3034,0.3346,1.200
0.067000,-0.9099,-0.0909,0.0390,0.915
0.073000,-0.5550,0.1359,-0.2580,0.627
0.077000,-0.1536,0.3303,-0.6166,0.716
0.082000,0.3521,0.5173,-0.8530,1.058
0.086000,0.7279,0.6599,-1.1086,1.481
0.091000,1.0767,0.7973,-1.3383,1.894
0.096000,1.3530,0.9373,-1.5473,2.259
0.101000,1.6086,1.0591,-1.7577,2.607
0.106000,1.8115,1.2160,-1.9463,2.924
0.111000,2.7450,1.3293,-1.5007,3.399
0.117000,2.9922,1.3839,-0.5869,3.349
0.120000,2.5015,1.5044,0.0120,2.919
0.125000,2.4323,1.5251,0.3189,2.889
0.131000,2.2142,1.3186,0.5779,2.641
0.135000,1.7393,1.1520,0.4726,2.139
0.140000,1.3408,0.9907,0.2309,1.683
0.145000,1.0220,0.8944,0.0604,1.359
0.149000,0.7364,0.8459,0.0201,1.122
0.155000,0.5982,0.7448,0.1598,0.969
0.160000,0.5442,0.7102,0.5519,1.051
0.165000,0.2994,0.6196,0.6716,0.962
0.169000,-0.0419,0.4802,0.4661,0.671
0.175000,-2.0916,-0.0570,2.5477,3.297
0.179000,-3.7980,-1.0239,4.5830,6.040
0.184000,-3.1763,-1.6755,3.6637,5.130
0.189000,-2.8084,-2.3111,3.6113,5.125
0.194000,-2.6808,-2.5302,2.9056,4.694
0.198000,-2.7914,-2.1914,1.3540,3.798
0.203000,-2.5709,-1.4002,0.5241,2.974
0.208000,-1.3988,-1.1642,-0.5815,1.911
0.213000,-0.5934,-0.8998,-1.5877,1.919
0.218000,-0.1111,-0.7269,-2.3742,2.485
0.223000,-0.0531,-0.5573,-2.9128,2.966
0.228000,-0.2647,-0.5539,-3.2505,3.308
0.232000,-0.4469,-0.6596,-3.2766,3.372
0.237000,-0.4133,-0.7767,-2.6198,2.764
0.242000,-0.2766,-0.8685,-1.7396,1.964
0.247000,-0.1159,-0.8134,-1.1435,1.408
0.252000,-0.0670,-0.5545,-0.8679,1.032
0.257000,0.0051,-0.2737,-0.6506,0.706
0.262000,0.1711,-0.0723,-0.4440,0.481
0.266000,0.2583,0.0683,-0.3173,0.415
0.271000,0.3334,0.1884,-0.2609,0.463
